1,0,1,2.980385,66.742000
-1,0,1,2.980385,66.742000
0,1,1,2.980385,66.742000
0,-1,1,2.980385,66.742000
1,0,-1,2.980385,66.742000
-1,0,-1,2.980385,66.742000
0,1,-1,2.980385,66.742000
0,-1,-1,2.980385,66.742000
0,0,2,2.610850,45.043600
0,0,-2,2.610850,45.043600
1,1,0,2.566585,41.641200
-1,1,0,2.566585,41.641200
1,-1,0,2.566585,41.641200
-1,-1,0,2.566585,41.641200
1,0,2,2.119496,10.132000
-1,0,2,2.119496,10.132000
0,1,2,2.119496,10.132000
0,-1,2,2.119496,10.132000
1,0,-2,2.119496,10.132000
-1,0,-2,2.119496,10.132000
0,1,-2,2.119496,10.132000
0,-1,-2,2.119496,10.132000
1,1,2,1.830299,70.164700
-1,1,2,1.830299,70.164700
1,-1,2,1.830299,70.164700
-1,-1,2,1.830299,70.164700
1,1,-2,1.830299,70.164700
-1,1,-2,1.830299,70.164700
1,-1,-2,1.830299,70.164700
-1,-1,-2,1.830299,70.164700
2,0,0,1.814850,72.285300
-2,0,0,1.814850,72.285300
0,2,0,1.814850,72.285300
0,-2,0,1.814850,72.285300
1,0,3,1.569446,51.359200
-1,0,3,1.569446,51.359200
0,1,3,1.569446,51.359200
0,-1,3,1.569446,51.359200
1,0,-3,1.569446,51.359200
-1,0,-3,1.569446,51.359200
0,1,-3,1.569446,51.359200
0,-1,-3,1.569446,51.359200
2,1,1,1.550080,50.993500
-2,1,1,1.550080,50.993500
2,-1,1,1.550080,50.993500
-2,-1,1,1.550080,50.993500
1,2,1,1.550080,50.993500
-1,2,1,1.550080,50.993500
1,-2,1,1.550080,50.993500
-1,-2,1,1.550080,50.993500
2,1,-1,1.550080,50.993500
-2,1,-1,1.550080,50.993500
2,-1,-1,1.550080,50.993500
-2,-1,-1,1.550080,50.993500
1,2,-1,1.550080,50.993500
-1,2,-1,1.550080,50.993500
1,-2,-1,1.550080,50.993500
-1,-2,-1,1.550080,50.993500
2,0,2,1.490193,38.329000
-2,0,2,1.490193,38.329000
0,2,2,1.490193,38.329000
0,-2,2,1.490193,38.329000
2,0,-2,1.490193,38.329000
-2,0,-2,1.490193,38.329000
0,2,-2,1.490193,38.329000
0,-2,-2,1.490193,38.329000
2,1,2,1.378535,6.431600
-2,1,2,1.378535,6.431600
2,-1,2,1.378535,6.431600
